x,y,v,t
2.99701,1.9483,0.422844,24.679
2.99339,1.89642,0.422844,24.802
2.9893,1.84441,0.422844,24.9253
2.9849,1.79235,0.422844,25.0489
2.98034,1.74028,0.422844,25.1725
2.97577,1.68827,0.422844,25.296
2.97137,1.63639,0.422844,25.4191
2.96728,1.58468,0.422844,25.5418
2.96366,1.53321,0.422844,25.6638
2.96067,1.48204,0.422844,25.785
2.95847,1.43122,0.422844,25.9053
2.95721,1.38083,0.422844,26.0245
2.95706,1.33092,0.422844,26.1426
2.95816,1.28155,0.422844,26.2594
2.96067,1.23277,0.422844,26.3749
2.96476,1.18466,0.422844,26.4891
2.97058,1.13726,0.422844,26.602
2.97829,1.09065,0.422844,26.7137
2.98804,1.04488,0.422844,26.8244
3,1,0.422844,26.9342
3,1,0.422844,26.9342
3.02086,0.938145,0.422844,27.0886
3.0462,0.878115,0.422844,27.2427
3.07579,0.819812,0.422844,27.3973
3.10939,0.76314,0.422844,27.5531
3.14677,0.708005,0.422844,27.7107
3.18768,0.654309,0.422844,27.8703
3.2319,0.601958,0.422844,28.0324
3.27919,0.550854,0.422844,28.1971
3.32931,0.500902,0.422844,28.3644
3.38202,0.452006,0.422844,28.5344
3.43709,0.404069,0.422844,28.7071
3.49429,0.356997,0.422844,28.8823
3.55337,0.310693,0.422844,29.0598
3.61411,0.26506,0.422844,29.2395
3.67626,0.220004,0.422844,29.421
3.73959,0.175427,0.422844,29.6042
3.80387,0.131234,0.422844,29.7887
3.86885,0.0873295,0.422844,29.9741
3.93431,0.0436168,0.422844,30.1603
4,5.55112e-17,0.422844,30.3467
